,algorithm,value_type,value
0,QAOA (par.),expectation,-5.596800000000001
1,QAOA (par.),expectation_norm,0.6218666666666668
2,cut-QAOA,expectation,-6.305205646804268
3,cut-QAOA,expectation_norm,0.7005784052004742
4,QAOA (seq.),expectation,-5.521840000000004
5,QAOA (seq.),expectation_norm,0.6135377777777782
6,random,expectation,-5.5014
7,random,expectation_norm,0.6112666666666667
