,algorithm,value_type,value
0,cut-QAOA,expectation,-8.089146489565326
1,cut-QAOA,expectation_norm,0.6740955407971105
2,QAOA (seq.),expectation,-7.68207
3,QAOA (seq.),expectation_norm,0.6401725
4,random,expectation,-7.50043
5,random,expectation_norm,0.6250358333333333
